"Timestamp","Event","Content","Touchpoint","Location","PunctuationInSentece","NumberOfWords","NumberOfCharacters","SelectedButtonIndex","FullSentece","TimeSpan","IdentificationTags","LocationTags"
"2020/01/02 13:22:27.305","word-prediction[4]-updated","all","","70,410","","0","0","0","","","",""
"2020/01/02 13:22:28.906","sentence-added-to-database","so instead of predicting single words it also predicts sentences or part of the sentence if it fits","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:22:28.920","TTS-button-selected","so instead of predicting single words it also predicts sentences or part of the sentence if it fits ","1025,718","960,688","","0","0","0","","","",""
"2020/01/02 13:22:28.933","words-per-minute-value_word_count","86.35","","","","18","0","0","so instead of predicting single words it also predicts sentences or part of the sentence if it fits","0.20845","",""
"2020/01/02 13:22:28.948","words-per-minute-value_character_count","94.03","","","","0","99","0","so instead of predicting single words it also predicts sentences or part of the sentence if it fits","0.20845","",""
"2020/01/02 13:22:36.879","Clear-button-selected","Clear","1019.5,509.5","960,475","","0","0","0","","","",""
"2020/01/02 13:22:36.896","words-per-minute-value_word_count","86.35","","","","18","0","0","so instead of predicting single words it also predicts sentences or part of the sentence if it fits","0.20845","",""
"2020/01/02 13:22:36.912","words-per-minute-value_character_count","94.03","","","","0","99","0","so instead of predicting single words it also predicts sentences or part of the sentence if it fits","0.20845","",""
"2020/01/02 13:22:36.931","output-updated","","","","","0","0","0","","","",""
"2020/01/02 13:22:37.005","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:22:37.036","sentence-prediction[1]-updated","hello alex","","520,410","N","2","0","0","hello alex","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:22:37.055","sentence-prediction[2]-updated","exactly","","200,195","N","1","0","0","exactly","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:22:37.071","sentence-prediction[3]-updated","hello everyone","","520,345","N","2","0","0","hello everyone","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:22:37.090","sentence-prediction[4]-updated","the voice","","380,195","N","2","0","0","the voice","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:22:37.109","sentence-prediction[5]-updated","normal please","","560,623","N","2","0","0","normal please","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:22:37.127","word-prediction[1]-updated","to","","380,130","","0","0","0","","","",""
"2020/01/02 13:22:37.145","word-prediction[2]-updated","and","","70,345","","0","0","0","","","",""
"2020/01/02 13:22:37.158","word-prediction[3]-updated","of","","740,130","","0","0","0","","","",""
"2020/01/02 13:22:37.177","word-prediction[4]-updated","in","","650,130","","0","0","0","","","",""
"2020/01/02 13:22:38.702","word-prediction[2]-selected","and","79.5,393","70,345","","0","0","0","","","",""
"2020/01/02 13:22:38.712","output-updated","and ","","","","0","0","0","","","",""
"2020/01/02 13:22:38.795","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:22:38.833","sentence-prediction[1]-updated","predicting both words and sentences","","830,195","N","5","0","0","and predicting both words and sentences","","person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
"2020/01/02 13:22:38.850","sentence-prediction[2]-updated","try it out for real","","380,195","N","5","0","0","come and try it out for real","","","location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
"2020/01/02 13:22:38.866","sentence-prediction[3]-updated","how pleased you would be","","520,410","N","5","0","0","and how pleased you would be","","","lcoation1, location3, location4, lovation7, location8, location2, location6, location5"
