Timestamp,Event,Content,Touchpoint,Location,PunctuationInSentece,NumberOfWords,NumberOfCharacters,SelectedButtonIndex,FullSentece,TimeSpan,IdentificationTags,LocationTags
36:17.3,sentence-prediction[3]-updated,me to show you,,"650,623",N,4,0,0,what do you want me to show you,,"person1, person6, person5, Unknown, person3, person2, person7, person4, person8","location2, lovation7, location4, location8, location5, location6, lcoation1, location3"
36:17.4,word-prediction[1]-updated,you,,"470,130",,0,0,0,,,,
36:17.4,word-prediction[2]-updated,my,,"650,558",,0,0,0,,,,
36:17.4,word-prediction[3]-updated,it,,"650,130",,0,0,0,,,,
36:17.4,word-prediction[4]-updated,some,,"160,345",,0,0,0,,,,
36:18.6,Sentence-prediction[2]-selected,a,"102.5,445.5",,N,2,0,1,a go?,,,
36:18.6,output-updated,i want a ,,,,0,0,0,,,,
36:18.7,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:18.8,sentence-prediction[1]-updated,good excuse for a competition,,"430,410",N,5,0,0,maybe a good excuse for a competition,,"person7, person6, person2, Unknown, person1, person5, person4, person3, person8","lovation7, location8, location6, lcoation1, location3, location4, location2, location5"
36:18.8,sentence-prediction[2]-updated,lovely new horse,,"790,345",N,3,0,0,so i had a lovely new horse,,,"location4, location2, lcoation1, location3, location6, location8, location5, lovation7"
36:18.8,sentence-prediction[3]-updated,button to say i have something to say.,,"470,623",Y,8,0,0,i need a button to say i have something to say.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
36:18.8,sentence-prediction[4]-updated,professor at dundee university,,"830,195",N,4,0,0,i am a professor at dundee university,,"person2, Unknown, person3, person1, person4, person7, person6, person5, person8","location6, lovation7, location5, lcoation1, location4, location2, location3, location8"
36:18.8,sentence-prediction[5]-updated,title for kings park,,"380,195",N,4,0,0,i need a title for kings park,,"person5, person4, person1, person6, person3, person7, person2, Unknown, person8","location8, location3, location5, location2, lcoation1, location6, lovation7, location4"
36:18.8,word-prediction[1]-updated,new,,"560,558",,0,0,0,,,,
36:18.8,word-prediction[2]-updated,guy,,"430,345",,0,0,0,,,,
36:18.9,word-prediction[3]-updated,pet,,"830,130",,0,0,0,,,,
36:18.9,word-prediction[4]-updated,tattoo,,"380,130",,0,0,0,,,,
36:22.2,Sentence-prediction[3]-selected,button to say i have something to say.,"1064.5,656",,Y,8,0,9,button to say i have something to say.,,,
36:22.3,output-updated,i want a button to say i have something to say. ,,,,0,0,0,,,,
36:22.3,words-per-minute-value_word_count,54.91,,,,11,0,0,i want a button to say i have something to say.,0.20032,,
36:22.3,words-per-minute-value_character_count,45.93,,,,0,47,0,i want a button to say i have something to say.,0.20032,,
36:22.4,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
36:22.4,sentence-prediction[1]-updated,hello alex,,"520,410",N,2,0,0,hello alex,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:22.4,sentence-prediction[2]-updated,exactly,,"200,195",N,1,0,0,exactly,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:22.4,sentence-prediction[3]-updated,hello everyone,,"520,345",N,2,0,0,hello everyone,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:22.4,sentence-prediction[4]-updated,the voice,,"380,195",N,2,0,0,the voice,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:22.4,sentence-prediction[5]-updated,normal please,,"560,623",N,2,0,0,normal please,,,"location3, location4, location5, location6, lovation7, location8, lcoation1, location2"
36:22.5,word-prediction[1]-updated,to,,"380,130",,0,0,0,,,,
36:22.5,word-prediction[2]-updated,and,,"70,345",,0,0,0,,,,
